Term Set Name,Term Set Description,LCID,Available for Tagging,Term Description,Level 1 Term,Level 2 Term,Level 3 Term,Level 4 Term,Level 5 Term,Level 6 Term,Level 7 Term
Products,,,TRUE,,Products,,,,,,
,,,TRUE,,Products,Furniture,,,,,
,,,TRUE,,Products,Furniture,Bookcases,,,,
,,,TRUE,,Products,Furniture,Chairs,,,,
,,,TRUE,,Products,Furniture,Furnishings,,,,
,,,TRUE,,Products,Furniture,Tables,,,,
,,,TRUE,,Products,Office Supplies,,,,,
,,,TRUE,,Products,Office Supplies,Appliances,,,,
,,,TRUE,,Products,Office Supplies,Art,,,,
,,,TRUE,,Products,Office Supplies,Binders,,,,
,,,TRUE,,Products,Office Supplies,Envelopes,,,,
,,,TRUE,,Products,Office Supplies,Fasteners,,,,
,,,TRUE,,Products,Office Supplies,Labels,,,,
,,,TRUE,,Products,Office Supplies,Paper,,,,
,,,TRUE,,Products,Office Supplies,Storage,,,,
,,,TRUE,,Products,Office Supplies,Supplies,,,,
,,,TRUE,,Products,Technology,,,,,
,,,TRUE,,Products,Technology,Accessories,,,,
,,,TRUE,,Products,Technology,Copiers,,,,
,,,TRUE,,Products,Technology,Machines,,,,
,,,TRUE,,Products,Technology,Phones,,,,
